"iso_code"	"country_name"	"month"	"measles_cases"	"who_region"	"world_bank_region"	"income_group"
"AFG"	"Afghanistan"	2011-01-01	"138"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-02-01	"145"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-03-01	"211"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-04-01	"229"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-05-01	"157"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-06-01	"144"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-07-01	"102"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-08-01	"45"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-09-01	"24"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-10-01	"25"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-11-01	"53"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2011-12-01	"111"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-01-01	"374"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-02-01	"432"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-03-01	"390"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-04-01	"351"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-05-01	"354"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-06-01	"311"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-07-01	"241"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-08-01	"78"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-09-01	"46"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-10-01	"95"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-11-01	"56"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2012-12-01	"63"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-01-01	"36"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-02-01	"51"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-03-01	"47"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-04-01	"69"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-05-01	"59"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-06-01	"58"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-07-01	"51"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-08-01	"0"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-09-01	"8"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-10-01	"3"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-11-01	"13"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2013-12-01	"35"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-01-01	"69"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-02-01	"70"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-03-01	"46"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-04-01	"29"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-05-01	"79"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-06-01	"43"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-07-01	"47"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-08-01	"11"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-09-01	"39"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-10-01	"27"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-11-01	"32"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2014-12-01	"60"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-01-01	"89"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-02-01	"160"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-03-01	"269"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-04-01	"204"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-05-01	"208"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-06-01	"116"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-07-01	"65"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-08-01	"28"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-09-01	"16"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-10-01	"7"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-11-01	"8"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2015-12-01	"21"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-01-01	"8"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-02-01	"62"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-03-01	"52"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-04-01	"79"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-05-01	"66"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-06-01	"99"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-07-01	"40"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-08-01	"26"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-09-01	"22"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-10-01	"35"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-11-01	"35"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2016-12-01	"117"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-01-01	"209"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-02-01	"213"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-03-01	"201"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-04-01	"181"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-05-01	"144"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-06-01	"89"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-07-01	"88"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-08-01	"32"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-09-01	"30"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-10-01	"61"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-11-01	"85"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2017-12-01	"179"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-01-01	"269"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-02-01	"330"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-03-01	"551"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-04-01	"241"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-05-01	"205"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-06-01	"166"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-07-01	"140"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-08-01	"61"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-09-01	"12"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-10-01	"14"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-11-01	"11"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2018-12-01	"12"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2019-01-01	"18"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2019-02-01	"27"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2019-03-01	"28"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2019-04-01	"29"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2019-05-01	"32"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2019-06-01	"17"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2019-07-01	"7"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
"AFG"	"Afghanistan"	2019-08-01	"12"	"Eastern Mediterranean Region"	"South Asia"	"Low income"
